Title,SMILES,Actividad
SR-01000096634,N#CC1=C2SCN(Cc3ccccc3)CN2C(=O)CC1c1cccc([N+](=O)[O-])c1,1
SR-01000212965,CCc1c(C)sc(NC(=O)C2CC3CCC2C3)c1C#N,1
SR-01000056285,S=C1NN=C2Sc3ccccc3N=C2N1,1
SR-01000240706,COc1cccc(NC(=S)NCc2ccccn2)c1,1
SR-01000187599,Cc1ccc(-c2ccc(C(=O)N3CCc4c(cnc(C)c4CNS(C)(=O)=O)C3)cc2)o1,1
SR-01000226826,COc1ccc(-c2nnc(SCC(=O)c3ccccc3)[nH]2)cc1,1
SR-01000311700,O=S(=O)(O)CCC[N+]1=C(/C=C/Nc2ccccc2)SCC1,1
MWAC-0003956,N#CC1(C)CCN(CC2=CC(OCC(O)CN(C3CCCCC3)C)=CC=C2)CC1,1
SR-01000128802,Cc1ccc2sc(NNC(=O)c3ccc(F)cc3)nc2c1C,1
SR-01000193095,CCC(CC)C(=O)NCc1nnc(SCc2ccncc2)n1Cc1ccccc1,1
MWAC-0003812,N1=C2N(CC1)C(CC(=O)N1CC(CCc3ccc(F)cc3)CCC1)=CS2,1
MWAC-0001611,O=C(NC1=CC=C(C(C)=O)C=C1)C1=CSC2=NC(C3=CC=C(OC)C=C3)=CN12,1
MWAC-0002428,O=C1N(CCCCN2CCN(CC3=C4C=CC=CC4=NC=C3)CC2)C2=C(OC1)C=CC=C2,1
SR-01000147640,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1ccc(C(=O)O)cc1,1
SR-01000096760,N#CC1=C2SCN(Cc3ccco3)CN2C(=O)CC1c1ccc([N+](=O)[O-])cc1,1
SR-01000505226,O=C(Oc1ccc2oc(=O)sc2c1)c1ccc(Cl)cc1Cl,1
SR-01000096840,COc1ccc(C2CC(=O)N3CN(Cc4ccccc4)CSC3=C2C#N)cc1OC,1
SR-01000113310,Cc1ccc(NC(=O)/C=C/c2ccc(C)o2)c(C)c1,1
MWAC-0001683,O=C1N(CCCCN2CCN(C3=C4C(=NC=N3)C=C(OC)C(OC)=C4)CC2)C2=C(CO1)C=CC=C2,1
SR-01000760524,O=S(=O)(O)CCS,1
SR-01000012740,Cc1ccc(/C=C/C(=O)N(C)Cc2ccccc2)o1,1
SR-01000215221,O=C1NC(=S)NC(=O)C1=CNc1cc(Cl)ccc1Cl,1
SR-01000231948,CN1C(=O)C(=Cc2ccsc2)C(=O)N(C)C1=S,1
SR-01000559693,O=c1c2cc3ccccc3cc2[nH]c(=S)n1Cc1ccco1,1
SR-05001870926,COC(=O)[C@H](CC(C)C)NC(=O)c1ccc(NC[C@@H](N)CS)cc1-c1cccc2ccccc12,1
MWAC-0002763,O=C(N)C1=C(NC(C(C)SC2=NC(C(F)(F)F)=CC(C3=CC=CC=C3)=N2)=O)SC2=C1CCCC2,1
SR-01000431165,COc1ccc(Nc2nc(Nc3ccc(OC)c(OC)c3)nc(SC3=NCCS3)n2)cc1OC,1
SR-01000444198,CCOc1ccc(S(=O)(=O)Nc2cc(Sc3nc4ccccc4s3)c(O)c3ccccc23)cc1,1
SR-01000296595,CCc1c(C)nc(N)nc1N1N=C1SC(C(C)=O)C(C)=O,1
SR-01000470763,CC(=O)OC(OC(C)=O)C12C=CC(O1)C1C(=O)N(c3ccc(C)cc3C)C(=O)C12,1
SR-01000575475,O=C(c1cccnc1S)N1CCC(Cc2ccccc2)CC1,1
SR-01000066813,Cc1ccc(-c2nn(-c3ccccc3)cc2/C=C/C(=O)OCC(N)=O)o1,1
SR-01000230671,Cc1ccccc1N1C(=O)NC(=O)/C(=C\c2ccc(-c3ccccc3C(=O)O)o2)C1=O,1
SR-01000096628,N#CC1=C2SCN(c3ccccc3F)CN2C(=O)CC1c1cccc([N+](=O)[O-])c1,1
MWAC-0003758,O=C(C1=C(NC(CSC2=NC(C3=CC=NC=C3)=CC=N2)=O)SC2=C1CCCC2)N,1
SR-01000039409,Cc1ccc(-c2csc3n[nH]c(=S)n23)cc1,1
SR-01000530157,CCOC(=O)CN1NC2(CCCCC2)NC1=S,1
SR-01000208004,COc1ccccc1-c1n[nH]c(=S)[nH]1,1
SR-01000112858,Cc1cccc(NC(=O)CN2C(=O)N/C(=C\c3ccc(-c4cccc(C(=O)O)c4)o3)C2=O)c1,1
SR-01000314172,CCC(=O)NC(=S)NNC(=O)c1ccc([N+](=O)[O-])cc1,1
SR-01000014310,CC(=O)Nc1ccc(NC2=NC(=O)/C(=C\c3ccc(C)o3)S2)cc1,1
MWAC-0003971,CC1=NC(CN2CCC(C3CCNCC3)CC2)=NO1,1
SR-01000128732,Cc1cccc2sc(NNC(=O)c3ccccc3)nc12,1
SR-01000269398,CC(=O)c1cc(C(N)=O)c(S)nc1C,1
SR-01000576727,Cc1ccc(-n2c(S)nc3[nH]ncc3c2=O)cc1Cl,1
MWAC-0002982,COC1=C(OC)C=C2N=CN=C(N3CCC[C@@H](NC(C4=CC(OC)=CC=C4)=O)C3)C2=C1,1
SR-01000313959,NC(=S)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,1
SR-01000152037,CN1CCSc2ccc(C(=O)NCc3ccccn3)cc21,1
SR-01000086138,Cc1ccc(-c2cc(C(=O)Nc3ccc(C(N)=O)cc3)c3ccccc3n2)o1,1
SR-01000581566,CCOCCCNC(=O)c1ccc2c(c1)NC(=O)C(CSCc1cc(C)ccc1C)N2,1
MWAC-0000140,O=C1C(=O)C2=C(C=CC=C2)N1CCCCN1CCN(CC2=C3C=CC=CC3=C(OC)C=C2)CC1,1
SR-01000514103,O=C(CNC(=O)c1ccc(Br)o1)OCC(=O)c1ccc([N+](=O)[O-])cc1,1
SR-01000096800,COc1cc(C2CC(=O)N3CN(Cc4ccco4)CSC3=C2C#N)cc(OC)c1OC,1
MWAC-0002435,O=C1COC2=C(C=CC=C2)N1CCCCN1CCN(C(C2=C3C=CC=CC3=C(OC)C=C2)=O)CC1,1
MWAC-0001557,O=C1C2=C(C=CC=C2)CN1CCCCN1CCN(C2=NC=NC3=CC(OC)=C(OC)C=C23)CC1,1
SR-01000096668,CN1CSC2=C(C#N)C(c3ccccc3)CC(=O)N2C1,1
SR-01000906943,COCC(=O)Oc1c(Sc2ccc(C)cc2)c(C)nn1-c1ccccc1,1
SR-01000356962,O=C(NC(=S)NNS(=O)(=O)c1ccccc1)c1cccc([N+](=O)[O-])c1,1
SR-01000206772,CCCOC(=O)C[n+]1csc2ccccc21,1
SR-01000480489,O=[N+]([O-])c1cccc(-c2n[nH]c(=S)[nH]2)c1,1
SR-01000266825,Nc1nnc(SCC(=O)c2ccc([N+](=O)[O-])cc2)[nH]1,1
