Title,SMILES,Actividad,Origin
SR-05002688223-1,OCC1=CC=C(C=C1)CN2CC(C3=C(C2)C=CC=C3)C(O)=O,1,Cell-based nLuc
SR-05003256895-1,O=C(C(Cc1ccc(O)cc1)c1ccccc1)N1CC2CC(O)CC2C1,0,Cell-based nLuc
SR-05003257032-1,CN(C(C1=CC(NC2=C1C=CC=C2)=O)=O)CC3=CC=C(C=C3)O,0,Cell-based nLuc
SR-05003257033-1,O=C(N1CCN2C(CC3=CC=CC=C3)=NN=C2C1)NCC4=CC=CC=C4,0,Cell-based nLuc
SR-05003257034-1,CN1C=CC2=C1C=C(C(N3CCCNC(C3CC4=CC=CC=C4)=O)=O)C=C2,0,Cell-based nLuc
SR-05003257035-1,O=C(Cc1cccc(CC(F)(F)F)c1)NC1CS(=O)(=O)Cc2ccccc21,0,Cell-based nLuc
SR-05003257036-1,NC(=O)NCC(=O)N1CCCN(Cc2ccccc2)c2ccccc21,0,Cell-based nLuc
SR-05003257037-1,NC(=O)C1CN(C(=O)CN2CCCc3ccccc32)c2ccccc2O1,0,Cell-based nLuc
SR-05003257038-1,O=C(Nc1cccc(CN2CCOCC2)c1)C1Cc2ccccc2O1,0,Cell-based nLuc
SR-05003257039-1,O=C(NC1C2=C(CC1O)C=CC=C2)NC3=CN=C(N4CCCC4)C=C3,0,Cell-based nLuc
SR-05003257040-1,O=C(C1CC2=C(CN1C(C3=CN=C(S3)C4=NC=CC=N4)=O)C=CC=C2)O,0,Cell-based nLuc
SR-05003257041-1,O=C(NCc1cnn(-c2ccccc2)c1)NC1CCOc2ccccc21,0,Cell-based nLuc
SR-05003256895-2,O=C(C(Cc1ccc(O)cc1)c1ccccc1)N1CC2CC(O)CC2C1,0,Cell-based nLuc
SR-05003257042-1,CS(=O)(N1CCN(CC2=C1C=CC=C2)C(C3=C(O)C=CC=C3)=O)=O,0,Cell-based nLuc
SR-05003257043-1,NC(=O)C1CCC(C(=O)N2CCc3ccccc32)N1Cc1ccccc1,0,Cell-based nLuc
SR-05003257044-1,NCC(NCC(N1Cc2c(CC1c3ccccc3)ccc(Cl)c2)=O)=O,1,Cell-based nLuc
SR-05003257045-1,NC(C1=CC=CC2=C1CCCN2C(C3CCCN(C3)CC4=CC=CC=C4)=O)=O,1,Cell-based nLuc
SR-05003257046-1,O=C(N1CC(CC1CO)O)NC2=CC=NC(OC3=C(Cl)C=CC=C3)=C2,0,Cell-based nLuc
SR-05003257047-1,O=C(C1=CC=CC2=C1N=CC=C2)NCC3=CC(F)=C(CO)C=C3,0,Cell-based nLuc
SR-05003257048-1,O=C(C1=C2N=CC=CC2=CC=C1)NC3=CC(CN4CCOCC4)=CC=C3,1,Cell-based nLuc
SR-05003257049-1,N#CC1=C(OCC(N2CCC(C3=C2C=CC=C3)C(N)=O)=O)C=CC=C1,0,Cell-based nLuc
SR-05003257050-1,CC(N1CCC2=C(C1CC(N3CCC(CC3)C4=CC=C(C=C4)O)=O)C=CC=C2)=O,0,Cell-based nLuc
SR-05003257051-1,CC(NCC1=CC=C(S1)C(N2CC3=C(CC2C(O)=O)C=CC=C3)=O)=O,0,Cell-based nLuc
SR-05003256896-1,O=C1CCc2c1cccc2C(=O)N1CC(O)C(Cc2ccc3ccccc3n2)C1,0,Cell-based nLuc
SR-05003257052-1,O=C(O)C1CN(C(=O)c2ccc(N3CCCC3=O)cc2)CC1c1ccccc1,0,Cell-based nLuc
SR-05003257053-1,CC(=O)N1CCCN(C(=O)c2ccc(CS(C)(=O)=O)cc2)c2ccccc21,0,Cell-based nLuc
SR-05003256897-1,O=C(CN1CCOc2ccccc2C1)NC1CC(=O)N(c2ccccc2)C1,0,Cell-based nLuc
SR-05003256898-1,O=C(C1Cc2ccccc2C1)N1CC(O)C(Cc2ccncc2)C1,0,Cell-based nLuc
SR-05003256899-1,O=C(Nc1ccc(F)cc1)N1CC2CCC(C1)N(Cc1ccccn1)C2=O,0,Cell-based nLuc
SR-05003256900-1,COc1ccc(NC(=O)N2CC3CCC(C2)N(Cc2ccccn2)C3=O)cc1,0,Cell-based nLuc
SR-05001943791-2,O=C(NCc1cccc(CO)c1)c1cccc2nccnc12,0,Cell-based nLuc
SR-05003256901-1,Cc1cccc(Oc2ccccc2NC(=O)N2CCCC(O)(CO)CC2)c1,0,Cell-based nLuc
SR-05003256902-1,O=C(N1CC2=C(C(C1)c3ccccc3)N=CN2)C4=CC=CC5=C4COC5,0,Cell-based nLuc
SR-05002688221-2,O=C(N1CCCC(C1)N2C=NC3=C2C=CC=C3)C4=CC=CC(CO)=C4,0,Cell-based nLuc
SR-05003256903-1,N#Cc1ccccc1N1CCN(C(=O)CCc2cccnc2)CC1=O,0,Cell-based nLuc
SR-05002033163-2,O=C(CN1CCOc2ccccc2C1)N1CCCN(Cc2ccncc2)CC1,0,Cell-based nLuc
SR-05003256910-1,CN(C)c1cc(C(=O)N2CC(O)C(Cc3ccncc3)C2)c2ccccc2n1,0,Cell-based nLuc
SR-05003256911-1,O=C(O)C1CN(C(=O)CN2CCOc3ccccc3C2)CC1c1cccc(F)c1,0,Cell-based nLuc
SR-05003256912-1,CC1CN(CC2=NN=C(N21)C3=NC=CC=C3)C(CCC4=CC=C(O)C=C4)=O,0,Cell-based nLuc
SR-05003256913-1,O=C(O)C1CN(C(=O)c2ccc(N3CCOCC3)cc2)CC1c1ccccc1,0,Cell-based nLuc
SR-05003256914-1,O=C(N1CC2=C(C(C1)c3ccccc3)N=CN2)C4=NC=CC(CO)=C4,0,Cell-based nLuc
SR-05003256915-1,O=C(O)C1CN(C(=O)CN2CCOc3ccccc3C2)CC1c1ccncc1,0,Cell-based nLuc
SR-05003256916-1,COC1=CC(C(N2CC(C(C2)CC3=CC=C4C=CC=CC4=N3)O)=O)=NC=C1,0,Cell-based nLuc
SR-05003256917-1,O=C(Cc1ccc2c(c1)OCO2)N1CC2CCC1CN(Cc1ccccn1)C2,0,Cell-based nLuc
SR-05001939592-2,N#Cc1ccccc1N1CCN(C(=O)C(O)c2ccc(F)cc2)CC1=O,0,Cell-based nLuc
SR-05002020534-2,CN1C(=O)C(CC(=O)N2CC(O)C2)(Cc2ccccc2)c2ccccc21,0,Cell-based nLuc
SR-05003256918-1,CC1=NC=CN1c2ccc(CNC(C3CCOc4c(C3)cccc4)=O)cc2,0,Cell-based nLuc
SR-05003256919-1,CCC1CN(C(=O)c2ccc(C)c(O)c2)CCC(=O)N1Cc1ccccc1,0,Cell-based nLuc
SR-05003256920-1,O=C(N1CCCC(C1)C2=NC=CN2Cc3ccccc3)c4cc(O)ccc4,0,Cell-based nLuc
SR-05003256921-1,O=C(NCc1ccc(N2CCCC2=O)cc1)C1CCc2ccccc2O1,0,Cell-based nLuc
SR-05003256922-1,O=C(NC1CC2COc3ccccc3S(=O)(=O)N2C1)c1ccc(CO)cc1,0,Cell-based nLuc
SR-05003256923-1,NC(=O)c1ccc(S(=O)(=O)N2CCC(c3ccccc3)C(O)C2)cc1,0,Cell-based nLuc
SR-05003256924-1,CC1=NN=C2N1C(CN(C2)C(c3cc(O)ccc3)=O)Cc4ccccc4,0,Cell-based nLuc
SR-05003256925-1,O=C(NCc1ccc(N2CCCC2=O)cc1)N1CCOC(c2ccccc2)C1,0,Cell-based nLuc
SR-05003256926-1,O=C(N1CCN(CC1)Cc2cc(OCO3)c3cc2)C4CCc5c4cccc5,0,Cell-based nLuc
SR-05003256890-1,Cc1ccc(CNC(=O)N2CC3OCCC(=O)N(Cc4ccccc4)C3C2)cc1,0,Cell-based nLuc
SR-05003256927-1,CN(C)C(=O)c1ccc(CC2CC(=O)N(c3ccccc3)C2)nc1,0,Cell-based nLuc
SR-05001939802-2,COc1cccc(N2CC(C)N(C(=O)NCc3ccc(C)cc3)CC2=O)c1,0,Cell-based nLuc
SR-05003256928-1,O=C(C1Cc2ccccc2C1)N1CCC(Cc2ccccc2)(C(=O)O)C(O)C1,0,Cell-based nLuc
SR-05001943468-2,CC1=CC2=NC(C(NC3CC(N(C3)Cc4ccccc4)=O)=O)=CN2C=C1,0,Cell-based nLuc
SR-05002026772-2,O=C(N1CC2CCC1CN(C2)Cc3cnccc3)Nc4ccc(F)cc4,0,Cell-based nLuc
SR-05001960399-2,O=C(N1CCOC2=C(C1)C=C(CO)C=C2)CC3=CNC4=C3C=CC=C4,0,Cell-based nLuc
SR-05002041832-3,CN(CC1Cc2ccccc2CN1C)C(=O)CN1CCOc2ccccc2C1,0,Cell-based nLuc
SR-05001940849-2,Cc1ncccc1C(=O)NC1CC(=O)N(Cc2cccc(F)c2)C1,0,Cell-based nLuc
SR-05003256930-1,Cc1ccccc1NC(=O)NC1CC(=O)N(Cc2cccc(F)c2)C1,0,Cell-based nLuc
SR-05003256931-1,O=C(NC1CC(=O)N(Cc2cccc3ccccc23)C1)c1cccnc1,0,Cell-based nLuc
SR-05003256891-1,O=C(Cc1ccc(CO)cc1)N1CCN(c2ccccc2Cl)C(=O)C1,0,Cell-based nLuc
SR-05003256932-1,Cn1cnc(C(=O)N2CC(O)C(Cc3ccnc4ccccc34)C2)c1,0,Cell-based nLuc
SR-05003256933-1,O=C(CCc1ccncc1)N1Cc2[nH]cnc2C(c2ccccc2)C1,0,Cell-based nLuc
SR-05003256950-1,O=C(c1c(O)ccc(F)c1)Nc2c(CN3CCC(CC3)O)cccc2,0,Cell-based nLuc
