Molecule,Round,SMILES,SI (A549 CC50/((nLUC EC50 + CPE Ec50)/2),Molecular weight (g/mol),log P,Lipinski violations,A549-hACE2_Cytotoxicity: CC50 (µM),P5_MERS_CPE_protection Max =100: EC50 (µM),CPE EC50 (µM),nLuc IC50 (µM),P5_SARS-CoV2_nsP13-dsRNA unwinding: EC50 (µM),P5_Vero76_Cytotoxicity: CC50 (µM)
MWAC-0003957,2,N#CC1CCN(CC2=CC=CC=C2OCCCN(C)C)CC1,--,301.434,2.2,0,(CC50 could not be calculated),> 50.000,5.062,2.94,(EC50 could not be calculated),(CC50 could not be calculated)
MWAC-0003970,2,COC1=CC=CC=C1C1=NC=C(CN2CCC(C3CCNCC3)CC2)S1,261.780104712042,371.55,3.1,0,5.74,> 3.125,0.312,0.07,> 50.00,18.4
MWAC-0003978,2,COC1=CC2=C(C=C1)OCC(CN1CCC(C3CCNCC3)CC1)=C2,95.6022944550669,342.483,2.8,0,12.07,12.116,0.646,0.4,> 50.00,47.35
MWAC-0003966,2,C1(C2CCN(CC3=CC(OCC4=NC=CC=C4)=CC=C3)CC2)CCNCC1,82.4402308326463,365.521,2.7,0,18.69,41.197,1.023,0.19,> 50.00,> 50.00
MWAC-0003963,2,OC(CN1CCSCC1)COC1=CC=CC=C1CN1CCC(N(C)C)CC1,78.9889415481833,393.597,2.4,0,> 50.00,43.202,0.766,0.5,> 50.00,(CC50 could not be calculated)
MWAC-0003960,2,CN(CC(O)COC1=CC=CC=C1CNC1CCCC1)C1CCCCC1,72.4112961622013,360.542,4,0,32.66,(EC50 could not be calculated),0.731,0.65,> 50.00,> 50.00
MWAC-0003973,2,FC1=CC=C(OCCCN2CCC(C3CCNCC3)CC2)C=C1,65.5737704918033,320.452,2.7,0,19.85,25.741,1.235,0.29,(EC50 could not be calculated),> 50.00
MWAC-0003805,1,C1CCCc2c1nc(CN1CCC(C3CCNCC3)CC1)s2,45.5580865603645,319.518,2.9,0,36.61,> 50.000,1.625,0.57,> 50.00,> 50.00
MWAC-0003959,2,OC(CN1CCC(O)CC1)COC1=CC=C(OC)C=C1CNC1CC(C)(C)CC(C)(C)C1,42.7167876975651,448.648,4.4,0,17.41,11.506,1.411,0.93,> 50.00,36.91
MWAC-0003976,2,O=C(N1C2=C(C=C(C)C=C2)CCC1)CN1CCC(C2CCNCC2)CC1,39.0625,355.526,3,0,23.49,40.417,1.86,0.7,> 50.00,(CC50 could not be calculated)
MWAC-0003975,2,FC1=CC(CN2CCC(C3CCNCC3)CC2)=C(N2N=CC=C2)C=C1,35.9324469996407,342.462,2.6,0,45.92,45.054,1.973,0.81,(EC50 could not be calculated),> 50.00
MWAC-0003964,2,OC(CN(C)C1CCCCC1)COC1=CC=CC=C1CN1CCCOCC1,32.927230819888,376.541,2.7,0,> 50.00,40.989,2.397,0.64,> 50.00,(CC50 could not be calculated)
MWAC-0003983,2,CC1=NOC(C)=C1CN1CCC(C2CCNCC2)CC1,32.7439423706614,277.412,1.6,0,> 50.00,> 50.000,1.664,1.39,> 50.00,> 50.00
MWAC-0003795,1,N#CC1CCN(Cc2c(OCC(O)CN(C)C3CCCCC3)cccc2)CC1,31.2597686777118,385.552,3.2,0,> 50.00,> 50.000,2.699,0.5,> 50.00,> 50.00
MWAC-0003953,2,N#CC1CCN(CC2=CC=CC=C2OCC(O)CN2CCCCC2)CC1,26.1028452101279,357.498,3,0,> 50.00,28.216,2.531,1.3,> 50.00,(CC50 could not be calculated)
MWAC-0003979,2,CC1=CC2=NC(CN3CCC(C4CCNCC4)CC3)=CC(=O)N2C=C1,24.4798041615667,340.471,1.2,0,> 50.00,> 50.000,2.275,1.81,> 50.00,> 50.00
MWAC-0003952,2,N#CC1(C)CCN(CC2=CC=CC=C2OCC(O)CN(C2CCCCC2)C)CC1,23.2828870779977,399.579,3.5,0,> 50.00,34.377,3.435,0.86,> 50.00,(CC50 could not be calculated)
MWAC-0003961,2,CN(CC(O)COC1=CC=CC=C1CN1CCC(F)(F)CC1)C1CCCCC1,22.2915737851092,396.522,3.5,0,> 50.00,37.327,2.316,2.17,> 50.00,> 50.00
MWAC-0003972,2,C1(C2CCN(CC3=CC(CN4C=CC=N4)=CC=C3)CC2)CCNCC1,17.8062678062678,338.499,1.9,0,> 50.00,(EC50 could not be calculated),5.326,0.29,> 50.00,(CC50 could not be calculated)
MWAC-0003958,2,CN(CC1=CC(OC)=CC=C1OCC(O)CN1CCC(O)CC1)C1CCCCC1,16.7252048837598,406.567,2.9,0,> 50.00,> 50.000,3.359,2.62,> 50.00,(CC50 could not be calculated)
MWAC-0003977,2,C1(C2CCN(CC3=NC(C4=CC=CC=C4)=CS3)CC2)CCNCC1,16.5098233448902,341.524,3.6,0,21.33,48.187,3.747,2.31,> 50.00,> 50.00
MWAC-0003779,1,Cc1ccc(-c2cccc(C(=O)N3C[C@H](c4ccc(OC)cc4)[C@@H](N)C3)c2)o1,16.0410651267244,376.456,4.1,0,15.23,> 25.000,4.104,2.13,(EC50 could not be calculated),28.57
MWAC-0003949,2,OC(CN(C1CCCCC1)C)COC1=CC=CC=C1CN1CCC2=NNC=C2C1,15.9464200287036,398.551,2.6,0,> 50.00,> 50.000,3.721,2.55,> 50.00,(CC50 could not be calculated)
MWAC-0003956,2,N#CC1(C)CCN(CC2=CC(OCC(O)CN(C3CCCCC3)C)=CC=C2)CC1,14.4133756125685,399.579,3.4,0,> 50.00,(EC50 could not be calculated),6.118,0.82,> 50.00,(CC50 could not be calculated)
MWAC-0003980,2,O=C1N2C(=NC(CN3CCC(C4CCNCC4)CC3)=C1)SC=C2,14.4092219020173,332.473,1.1,0,> 50.00,> 50.000,4.75,2.19,> 50.00,> 50.00
MWAC-0003955,2,N#CC1CCN(CC2=CC(OCC(O)CN(C3CCCCC3)C)=CC=C2)CC1,13.444474321054,385.552,3.1,0,> 50.00,(EC50 could not be calculated),5.498,1.94,(EC50 could not be calculated),(CC50 could not be calculated)
MWAC-0003950,2,O=C(N1CCCCC1)C1=CC=C(Cl)C=C1OC1CCN(C2CCCCC2)CC1,12.7145581691036,404.982,5.2,1,> 50.00,> 50.000,4.895,2.97,> 50.00,> 50.00
MWAC-0003974,2,CC1=C(CN2CCC(C3CCNCC3)CC2)N=C2C(=N1)C=CC=C2,9.12075884713608,324.472,1.9,0,> 50.00,> 50.000,9.084,1.88,48,(CC50 could not be calculated)
MWAC-0003954,2,N#CC1CCN(CC2=CC(OC)=CC=C2OCC(O)CN2CCC(O)CC2)CC1,8.30151087497925,403.523,1.7,0,> 50.00,(EC50 could not be calculated),8.336,3.71,> 50.00,(CC50 could not be calculated)
